onomatopoeia,onomatopoeia_english
こーガタンゴトンこー,Clatter clatter clatter
ピシッシュー,Snap hiss
ピーロン,Beep beep
ぴー,Beep
ピリリリリ,Buzz buzz buzz
ピリリリ,Buzz buzz buzz
こんこん,Knock knock
ごーガンガンキー,Bang bang clang
チャリンピ,Clink
ゴーピー,Beep beep
チャリンピーピー,Clink beep beep
ガタンゴトンキー,Clatter clatter clang
プッ,Pfft
カッコン,Clack
カッチャンカコン,Clink clack
ぐつぐつ,Simmering
カコン,Clink
ザクっザク,Chop chop
ザクっシュー,Chop whoosh
ジーゴロゴロ,Buzz rumble
コン,Tap
ジューパチパチ,Sizzle crackle
ジュー,Sizzle
ジャコジャコ,Scrape scrape
ピピピ,Beep beep beep
パじゃじゃー,Splash splash
がこん,Clunk
からん,Clink
バシージャー,Crash splash
ジュワージュー,Sizzle
カラカラコン,Rattle clink
じゃー,Splash
ジョボー,Gush
ザッザッザ,Scrape scrape scrape
かこん,Clack
ジチチチチ,Crackle crackle
ジョボジョボ,Dribble dribble
かちゃん,Click
ジョボジャー,Gush splash
キージョー,Creak
ビシャー,Splash
ジョロロロー,Pouring
コロッカン,Clatter clank
ぴっ,Beep
カシャーカシャー,Rustle rustle
ぴシュー,Sssht
ウイーン,Whirring
ギーギー,Squeaking
ザザー,Rustling
エンジンの音,Engine sound
シャー,Hissing
かちゃかちゃかちゃ,Clattering
ざぶー,Splash
かぽん,Plop
コトン,Thud
ざーぴちゃぴちゃ,Drip-drip
ごろごろろ,Rumble
かぽ,Plop
ぼー,Humming
ぽいぽいぽい,Tossing
ぽい,Toss
び,Beep
ぽん,Pop
じゃーこぽこぽ,Splashing
きゅ,Squeak
ぎゅ,Squeeze
じゃじゃじゃ,splashing
ごーじゃじゃじゃじゃ,roaring splash
ごーじゃじゃじゃじゃー,prolonged roaring splash
ごーじゃじゃじゃじゃーしゃー,prolonged roaring splash with spray
ごーじゃーごー,roaring go
ごぼ,gurgle
ぴちゃ,drip
ご,thud
ぴちゃぴちゃ,splish-splash
ぼぼ,bubbling
とん,tap
とんとんとん,tap tap tap
ぴちょん,plop
ぱちゃぱちゃぱちゃ,splash splash splash
ぴ,peep
しゅー,whoosh
びちゃびちゃびちゃ,squelch
じゃ,splash
じゃじゃじゃじゃ,continuous splash
ぽ,pop
じりりりん,ringing buzz
ぷー,honk
ぴぽぱぽ,beep-boop
ぶっ,pop
しゅっ,swish
びゅっ,whoosh
ぷるるる,ring-ring
びーじょりじょり,buzzing scrape
ぶおーぼー,roaring wind
かちゃ,click
ごとん,clunk
びー,beep
ぷるるるる,ring-ring-ring
こと,plop
びゅー,whoosh
ごうん,thud
がやがや,chatter
かんかんかん,clang-clang-clang
しゅーーーーーー,shhhhhhh
ぶるるるる　ぶるるるる　ドドドドドド　どどどっどー　ぶるるるるる　（話し声）,"engine rumble, rumble, rumble, rumble, rumble (background voices)"
ぶるっるるるーーーん　ぶるーーーーーん　ぶるん　（話し声）,Vroom vroom vroom (engine sound)
てんてんてんてん（話し声）,Tap tap tap tap
ちーちーちー,Chirp chirp chirp
とんとん,Knock knock
ぶおーーーー　ざーーー　ひゅるひゅる　ひゅるひゅる　ひゅるひゅる　ぴよぴよ　ひゅるひゅる,Whoosh—zzz—whistle whistle whistle—chirp chirp—whistle
たんたんたんたん,Tap tap tap tap
ざーーーーーー　ぶおーーー　,Zzzz—whoosh
ざーー　ぴー　たんたんたんたん,Zzz—beep—tap tap tap tap
ざー　しゅーーー　たんたん　しゅーーー　ぴー　だん　つー（ときどき人の声）,Zzz—shhh—tap tap—shhh—beep—thud—buzz (occasional voice)
たんたんたんたんたんたん,Tap tap tap tap tap tap
ざーーー　ふぉーん　がーーーーーーー　ざーーーー　ざーーーー,Zzzz—phone ring—roar—zzz—zzz
やーやー　やーいやーやー,Hey hey—hey hey hey
ざーーー　（ときどき人の声）がたん　がたんがたん　どんどん　ぷぷー　ぷぷー　ぷー　ぷーぷー,Zzz (occasional voice)—clatter—clatter clatter—bang bang—beep beep—beep—beep beep
ぷすん　しゅーーー（ときどき人の声）　ちりちりちりちり　うぉーーーーん　どどっどどどどどーーー,Psst—shhh (occasional voice)—crackle crackle—howl—thud thud thud thud thud—
ぷぷぷー　ぷーーー　ぷー　かんこんかん,Beep beep beep—beeeep—beep—clang clang clang
ごーーー　うぃーん　うぃーん,Whoooosh—whirr whirr
ぶおーーーー　＆　うぃーん,Whoooosh & whirr
うぃーん　うぃーん（人の話し声）,Whirr whirr (talking)
ひゅーーーん　ひゅーーーーん　ひゅーーーーん　ひゅーーーーん　ひゅーーーーん,Whoooosh whoooosh whoooosh whoooosh whoooosh
ぴぴぴぴぴ,Beep beep beep beep beep
ひゅーーーん　ひゅーーーーん　ひゅーーーーん,Whoosh whoosh whoosh
ひゅんひゅんひゅんひゅんひゅんひゅんひゅんひゅん,Whiz whiz whiz whiz whiz whiz whiz whiz
ぴぴぴぴぴぴぴぴぴぴぴぴぴぴ,Beep beep beep beep beep beep beep beep beep beep beep beep beep beep
たんたんたんたん　かっ　（常に人の話し声）,"Tap tap tap tap, snap (people talking)"
がたんがたん　どん　がとん（アナウンス音,"Clatter clatter, bang, clunk (announcement sound)"
人の話し声）,(people talking)
ううううーーーん　ううーん　ぷぷぷーぷぷー　うううーん　ぷぷぷー,"Mmmmmm, hmm, chuckle chuckle, mmm, chuckle"
ごーーーーーーーーー（機内アナウンス）　,Roar (in-flight announcement)
かちっ　,Click
ちんちん,Ding-ding
びゅいーん　ぴー　ぷっ　カツカツカツカツ（常に人の話し声,"Vroom, beep, puff, clack clack clack clack (people talking)"
ときどきアナウンス）,"(people talking, occasional announcement)"
カツカツカツカツ　がしゃん（常に人の話し声）,"Clack clack clack clack, crash (people talking)"
きゅおん　たっ　ぴゅーおーーん　たたん　つぉん　きゅきゅ（常に人の話し声）,"Squeal, tap, whooooon, tat-tat, tswon, squeak (people talking)"
ごーーー　たんたんたん　てぃん　つ　たんたん　とん　どん　ぷしゅー（常に人の話し声）,"Roar, tap tap tap, ding, ts, tap tap, ton, don, pshoo (people talking)"
てぃん,Ding
てゅくてゅ,Tuck tuck
どしゅーん,Swoosh
トゥルルルルルル,Rrrrrrring
ごーーー　ぴー　びゅおーん　しゅーー　ぴーぴー,"Roar, beep, whoosh, shhh, beep beep"
ガシャがしゃがしゃがしゃ　びゅおーん　ぴー　ドドドドドドドドド　ドドドドドドドドドおお,"Clatter-clatter-clatter, whoosh, beep, rumble rumble rumble rumble rumble rumble rumble rumble, rumble rumble rumble rumble rumble rumble rumble rumble roar"
ごーーー　ぴーーーー　ぴーーーー　ぷっ　ガシャがしゃがしゃがしゃ（ときどき話し声）,"Whoooosh, peeeep, peeeep, pop, clatter-clatter-clatter (occasional talking)"
ぐぉーーーーーーーーーーー　ぷしゅー　ぐゅおん　ぷーぷー　（ときどき話し声）,"Roarrrrrrrrrr, hiss, vroom, tooting (occasional talking)"
すりすりすりすり　ぱたぱたぱたぱた　びゅおーん,"Rub rub rub rub, pat pat pat pat, whoosh"
ぐおーーーー　てゅいんてゅいん　ぐおーーーー　ぴーーー　ぴぴー（ときどき話し声）,"Roaaar, twang twang, roaaar, peeeep, peep peep (occasional talking)"
かたん　ことん,"Clunk, clatter"
ぴち,Plop
かちっ,Click
きっ　ちー　こん　ととん　ととん　とん,"Snap, cheep, dong, tap tap, tap tap, tap"
かちかちかち　とん　ひゅーいーーーん　（ずっと「ふぉーーーー」,"Tick tick tick, dong, whoooosh, (continuous ""foooo"")"
ときどき話し声）,(occasional talking)
ごーーーーーーー　かしゃかしゃ　ごーーーーーーー,"Whoooooooo, rustle rustle, whoooooooo"
ごーーーーーー　かしゃかしゃ　つん　ごーーーー　ごーーーー（ときどきアナウンス）,"Whooooooo, rustle rustle, thump, whoooo, whoooo (occasional announcement)"
ごーーーーー　かつ　ごーーーーーごーーーーー　カツカツカツカツ　ごーーーーー　ひゅーーーーー　カツカツカツカツ　（ときどき話し声）,"Whoooooo, clack, whoooooo whoooooo, clack clack clack clack, whoooooo, whoooosh, clack clack clack clack (occasional talking)"
ごーーーーー　びゅーーー　ぎゅしゅーん　ごーーーーー　（ときどき話し声）,"Whoooooo, whoosh, swoosh, whoooooo (occasional talking)"
ガシャーン,Crash
ごーーー　ぴゅいー　だんだんだん　かしゃーん　ごーーーー　かーん（ときどき話し声）,"Whooo, peep, bang bang bang, crash, whooo, clang (occasional talking)"
だん　からからからからから（ときどき話し声）,"Bang, rattlerattlerattle (occasional talking)"
だん　つーーーーつつつつつ　ぷぷー　ぴぴー　きゅいー　だん　つー　ぴー　ぴぴー　つつつつつ　だん　（ときどき話し声）,"Bang, tsssssssss, beep beep, peep, squeak, bang, ts, peep, peep peep, tssssss, bang (occasional talking)"
ぶるるるる　ごーーーー,"Rumble rumble rumble, whooo"
ぴーーー　だん　,Beep-beep ding
ごーーーーごとごと　ぴー　ぷー　ぶぶー　ぴー　カツカツ　ぴっぴー　かちゃんかちゃん　ぴー　ごーーーー（ときどき話し声・咳払い）,Rumble rattle beep beep honk beep click click beep clatter (occasional talking/cough)
カツッ　ピピピピー　ガラガラガラガラガラガガラ（ときどき話し声）,Click beep-beep-beep rattle rattle rattle (occasional talking)
ざーーーー　ぴぴぴぴー　ぴゅひぃー　ぴっ　ざーーー　（ときどき話し声）,Ssshhh beep beep whistle pop ssshhh (occasional talking)
バランバラン（ときどき話し声）,Clatter clatter (occasional talking)
つつつつつー　ぴーーぴぃーーーー　ぴいいいい　ごわぁーーーー　きゅいーーん　ぴー（ときどき話し声）,Tapping beep-beep wail roar whine beep (occasional talking)
ザーーーー　カツ　トン　カツカツカツカツ　ピー　ピー　ザーーー　ピー　ピピー　カシャーン　カツカツカツカツカツカツカツ　ピピー　ピピー　フォーン　ザーーー　トン　フォーン　フォーン　ピピー　ピピー　ピーー　ピーーー　ブルルル　ピー　ピー　ピー　ピピー　ピー（ときどき話し声）,Ssshhh click thud tap tap tap tap beep beep ssshhh beep beep snap tap tap tap tap tap tap tap beep beep phone ssshhh thud phone phone beep beep beep beep vroom beep beep beep beep beep (occasional talking)
ザーーーー　フーフー　プー　トントン　ツツツツツツ　（ときどき話し声）,Ssshhh huff puff tap tap tss tss tss tss tss (occasional talking)
口笛・雑踏　ピピピピピー　ガゴン　プープープー　ピピー　ピー　ツツツツツツ　ポーポーポーポー　カツカツ　ザーーーー　カツ　ピー　ピッピー　ピー（ときどき話し声）,Whistle crowd beep beep beep clank honk honk honk beep beep tss tss tss tss tss beep beep beep beep tap tap ssshhh click beep beep beep (occasional talking)
ぷっぷー　かんかん　つっつっつっつ　ぴー　がんがん　ざーーー　ぴっぴー　からんらん　トントン　コツコツコツコツ　ぴっー　ぴー　ウィーン　ざーーー　ピーー　ざーーー　（ときどき話し声）,Honk honk clang clang tap tap tap beep pounding ssshhh beep beep chime chime tap tap tap tap tap beep beep whirr ssshhh beep ssshhh (occasional talking)
ピー　ブルブルブルブル　プッ　カツカツ　ピー　カシャカシャカシャカシャ　トントン,Beep vibrate pop tap tap beep rustle tap tap
がたん　ぶーーーん　ウーーーン　ウーーーン,Clatter vroom whirr whirr
コツコツコツ　ぷーーん　かしゃぁー　ぶるるるるん（ときどき話し声）,Tap tap tap buzz clatter rumble (occasional talking)
ウーーーン ウーーーン ウーーーン ウーーーン ウーーーン ウーーーン,Whirr whirr whirr whirr whirr whirr
ウーーーン ウーーーン（同時にぴぽぴぽ）　ぷーぷーぷー,Whirr whirr (with siren) honk honk honk
キュワンキュワンキュワンキュワンキュワン　,Squeal squeal squeal squeal squeal
ウァーーーン ウァーーーン ウァーーーン ウァーーーン ウァーーーン,Wail wail wail wail wail
キュワンキュワンキュワンキュワンキュワン,Squeal squeal squeal squeal squeal
ぴっ　ぴっ　ぶーーーん　ぷーーーーーーー　ぴっ　,Beep beep vroom whoooosh beep
カラカラカラカラ　プッ　きーきーきーきー　ぷっー　びゅしゅー　きーー　（ときどき話し声）,Rattle rattle rattle rattle pop squeak squeak squeak squeak pop whoosh squeak (occasional talking)
たんたんたん ピィー　かん　かん　ぴぃー（ときどき話し声）,"Tap tap tap, beep beep, clang clang, beep (occasional talking)"
がちゃ,Click
カツカツカツカツ カシャ　カツカツカツカツ　かちかっち(アナウンス､話し声),"Clack clack clack clack, snap, clack clack clack clack, tick-tock (announcement, talking)"
カツカツカツカツ（同時に話し声）,Clack clack clack clack (simultaneous talking)
ぴんぽん　ぷしゅー　がたがたがたがた　（ときどきアナウンス）,"Ding dong, hiss, rattle rattle rattle rattle (occasional announcement)"
こん　コツコツコツコツ　ガタンガタンガタンガタン　コツコツコツコツ（ときどきアナウンス）,"Clink, tap tap tap tap, clatter clatter clatter clatter, tap tap tap tap (occasional announcement)"
ピピピピピ　ピピピピピ　ガタンガタンガタンガタン　ひーひゅー　ちん　（ときどきアナウンス）,"Beep beep beep beep beep, beep beep beep beep beep, clatter clatter clatter clatter, whoosh, ding (occasional announcement)"
ゴゴゴゴゴゴゴーーーーー ヒーヒュー,"Rumblingggggggg, whoosh"
ガタンガタン　ガタンガタン　ガタンガタン（アナウンス）,"Clatter clatter, clatter clatter, clatter clatter (announcement)"
ピンポン　ぷしゅー,"Ding dong, hiss"
ウィーン　ガタンゴトン　ガタ　ガタ　　（アナウンス）,"Whirr, clatter clatter, clack clack (announcement)"
きゅるるー　がたんがたん（アナウンス）,"Squeal, clatter clatter (announcement)"
きゅるるーーーーー　きゅいキュイーーん（アナウンス）,"Squeeeeeeal, squeak squeak eeeen (announcement)"
ぷー　,Pfft
ぷー　ざーーーー　コツコツ　ぷーー　ぷっ　きーーん　ぷー　　ざーーーー　ぷしゅ　（ときどき話し声）,"Pfft, zzzzzz, tap tap tap, pfft, pop, keeeen, pfft, zzzzzz, hiss (occasional talking)"
カンカンカン　じー　ざーーーーーー　がたんがたん　,"Clang clang clang, buzz, zzzzzzzzz, clatter clatter"
ざーーーーー　ぷっ　コツコツ　ぷぷー　ぷぷー　がガガガガガガが　ぷぷー　かっつかっつかっつ　プシュー　ぷぷー（ときどき話し声）,"Zzzzzzz, pop, tap tap tap, poot poot, poot poot, gaggagagaga, poot poot, clack clack clack, whoosh, poot poot (occasional talking)"
ブオーーーーー　（アナウンスのような声）,Vroooom (announcement-like voice)
キィキィ　ピ　ブーーーー　しゅーしゅー　びゅーん　びゅーん　ぴー　ぷー　（ときどき話し声）,"Squeak squeak, beep, brrrrr, shoo shoo, whoosh whoosh, beep, pfft (occasional talking)"
ぐおおおおおおーーーん　しゅーん,"Gwooooooooon, shoooon"
カシューン　トントン　カツカツカツ　キュキュキュキュ（ときどき話し声）,"Click-clack, tap-tap, clip-clop, squeak-squeak (occasional talking)"
プシュー　ププー　ザーーーーー　フォーン　（ときどき話し声）,"Pshhh, beep-beep, zzzzzzzz, phone ring (occasional talking)"
コツコツコツコツ トントン　（ときどき構内アナウンス）,"Tap-tap-tap-tap, knock-knock (occasional announcement)"
（構内アナウンス）ピンポン,Ding-dong (announcement)
ウィーン　ガタンガタン　ガタンガタン　ごーーーーー　ガタンガタン　ガタンガタン　ごーーーーー　ごーーーーー　ガタンガタン　ガタンガタン　ガタンガタン　ごーーーーー　ガタンガタン　ごーーーーー　ガタンガタン　ガタンガタン　ごーーーーー　ガタンガタン　ごーーーーー　ガタンガタン　ごーーーーー　ガタンガタン　ごーーーーー　ガタンガタン,"Whirr, clatter-clatter, clatter-clatter, roar, clatter-clatter, clatter-clatter, roar, roar, clatter-clatter, clatter-clatter, clatter-clatter, roar, clatter-clatter, roar, clatter-clatter, clatter-clatter, roar, clatter-clatter, roar, clatter-clatter, roar, clatter-clatter, roar, clatter-clatter"
ゴトンゴトンゴトン　ぴーぷーぴーぷー　ガタンゴトン　ぴーぷーぴーぷー　きゅーぷしゅー（同時に駅構内アナウンス）,"Clunk-clunk-clunk, beep-beep, clatter-clunk, beep-beep, squeak-puff (with station announcement)"
ピンポン　ぴーぷーぴーぷーぴーぷーぴーぷー　（構内アナウンス）,"Ding-dong, beep-beep-beep-beep (announcement)"
ゴーゴゴゴゴゴーガタンガタン　ガタンガタン　ゴーーーー（構内アナウンス）,"Grrrrr-grrrrr, clatter-clatter, clatter-clatter, groooan (announcement)"
シャーシャーシャーシャーシャーシャー　キー　シャーシャーシャーシャ　コン（人の話し声）,"Shh-shh-shh-shh-shh-shh, screech, shh-shh-shh-shh, knock (people talking)"
コツコツコツコツ　トントントン　（人の話し声）,"Tap-tap-tap-tap, knock-knock-knock-knock (people talking)"
ティティティーーン ティティティーーン ティティティーーン（人の話し声）,"Ding-ding-ding-ding, ding-ding-ding-ding, ding-ding-ding-ding (people talking)"
ひゅいーーん　ひゅいーーん　ひゅーいーーーん　ティティティティティ　,"Whiiirrr, whiiirrr, whiiirrr, titter-titter-titter"
たたたたたた　からから　てゅんてぃん　コツコツコツ　たかっ　コツコツコツ（人の話し声）,"Rat-a-tat-tat, rattle-rattle, twinkle, tap-tap-tap, clack, tap-tap-tap (people talking)"
ゴーーーーーヒューーヒューーピーーヒュー,Grrrrrrr—whoo-whoo—peep—whoo
ぴー（アナウンスの声）,Beep (announcement voice)
ガタンガタン　ガタンガタン　ガタンガタン　ヒュー,"Clatter-clatter, clatter-clatter, clatter-clatter, whoosh"
ざわざわ,"Murmur, buzz"
ふぉーーん　ざーーーー　カタンカタン　ふぉふぉーーん　（ときどき人の話し声）,"Whoooon, zzzzzz, clack-clack, whoo-whoo, (occasional talking)"
かたかた　びゅーん　しゅーーー　ざーーーーー　ふぉーん　ひゅーーん　ぶぶぶぶぶぶぶ（ときどき人の話し声）　,"Clatter-clatter, whoosh, shhhh, zzzzzz, whoooon, wheeeen, brrrr"
コツコツコツコツ　ぷーー　コツコツコツコツコツ　ざーーー　（ときどき人の話し声）,whoosh knock whistle roar beep vroom phone tap tap tap tap tap (occasional human voices)
ざーーーーーーかん　こんこん　ひゅーーー　ヴゅおーーーーーーー　ぴぴぴ　ぶおんぶおん　ふぉーん　トントントントントン　（ときどき人の話し声）　,whoosh vroom beep buzz purr tap tap tap tap (occasional human voices)
ざーーーーーぶおんぶおん　ぴいーー　ぶーーーん　ぷぷぷーーん　コツコツコツコツ（同時にときどき人の話し声）,tap tap tap tap (with human voices)
とんとんとんとん（同時に人の話し声）,music and announcement
音楽とアナウンス,tat tat tat tat tat tat tat tat (with human voices)
たたたたたたたた（同時に人の話し声）,bzzzzzz
ぶーーーーーー,peeeeee
ぴーーーー,puff-shhh
ぷぅーしゃーーーー,shaaaah
シャァーーーーーー,zzzzzzzzzzz
ずーーーーーーーーー,zoom zoom zoom zoom
ビューン　ビューン　ビューン　ビューン,whoooooooooosh
ビューーーーーーーーーーーーーーーーーン,huff (inhale) huff (exhale)
ハァー（吸う）　ハァー（吐く）,pant pant pant pant
ハァハァハァハァ,shush-shush-roll shush-shush-roll shush-shush-roll shush-shush-roll
しゅしゅしゅーるる　しゅしゅしゅーるる　しゅしゅしゅーるる　しゅしゅしゅーるる,huff huff-huff huff-huff
ハースハースーハースーハースー,huff-exhale huff-exhale huff-exhale huff-exhale huff-exhale huff
スーハースーハースーハースーハースーハースーハー,duuuuun
でゅーーーん,buzzzz
ぶーーーーん,pop
ぽーーーーん,Jingle
じゃらーーーん,Tap tap tap tap
タン　ト　タン　トン,Boom boom boom
ドン　ドン　ドン,Vroom vroom vroom
ドゥーオーーン　ドゥーオーーン　ドゥーオーーン,Whooooosh
ぽぉーーーーーーーーーーー,Sigh
ふぅーーーーーーーーーーー,Peep
ぴぃーーーーーーーーーーーーーー,Growl (stomach)
ぐううううううううううううう,Pop pop pop pop
ぽぽぽぽぽ,"Ticking, buzzing"
てぃーーーーーしーーーーーきーーーぶおーーー,Ticking
てぃーーーーーしーーーーーきーーー,Knock knock knock (with stare)
とんとんとんとんとんとんとんとんとんとんとん（同時にじーーーー）,Bang
ばぁーーーん,Vroom
ぶぉーん,Roar
くぉーぅおー,"Shh, whoosh, huff, whoa, shh"
しーっ　しゅー　はぁー　ふぉーー　しー,"Hiss, huff, hiss, huff, whoa, shh"
しゃー　はぁー　しゃー　はぁー　ふぉー　しー,(No direct English equivalent; possibly a growl or grunt sound)
くっころぉー,Howl
くぉーーーん,Thud
どぅおんーーーーーーー,Croaking (frog)
くぉーーーーーーくぉんくぉんくぉん,Honking horn
ぽーぽーどおおおおおおおん,Siren wail
ぴーぽーぴんーぽーーーーどーどー,Horn honking
ぷーぽーぷおーぴおーぽーーーん,Roaring
ぐおーーーーーーーーー,Barking
わんわんわんわんわん　わんわんわんわん,Screeching
ぎぎぎぎーーーーい,Beeping
ききーききーききーききー,Clanking
ちちちぎぎぎん ちちちぎぎぎん,Creaking + blowing
きしししし（同時にふーーーー）        ,Hissing
しーーー　　,Whistling melody
ひー　しー　ふぉー　しー　ふー　しー　ふぉー,Barking + jingling
うぉんうぉんうぉんうぉんうぉんうぉんうぉんうぉんうぉん（同時にキロキロキロキロ）,Long howl
こーーーーーーーーーーーーー,Drum beats
ぼーんぼーんぼーんぼーんぼーんぼーん,Bell ringing
かーん　かーん　かーん　かーん　かーん　かーん　かーん,Engine rev + whoosh
ぼぅおおおーーん ひゅーーーーー,Zoom
ツォーーーン,Boom
どーーーん,Gong sound
ごーーーーーん　,Boom
だーーーーーん,Boom boom boom boom boom
だーーん　だーーん　だーーん　だーーん　だーーん,Buzz buzz
ぶーーん　ぶーーん,Rainstorm rumble screech whoosh roar
ザーッ　ゴゴゴゴゴゴーーーーーー　キーーーン　ぶーー　ごーー,Whoosh screech rumble
ぶーーー　キーーーン　ゴゴゴゴゴゴ,Rustle whoosh
ざざざざー　ぶーーー,Shing
しゃーーーん,Ding dong
ピーン　ポーン,Roar
ごーーーーーー,Tinkle tinkle tinkle
てぃてぃてぃん　てぃてぃん　てぃてぃてぃん,Beep beep beep buzz buzz buzz beep
ぴぴぴぴ　びびび　ぼぼぼ　ぴぴぴぴ　びびび　ぼぼぼ　ぴ,Roar
ごーーーーー,Beeeeee
びーーーー,Hmmm
うーーーーん,Ding ding
ちーーんちーーーん,Tap tap tap tap tap
タンタンタンタンタン,Screech
キーーーン,Clank clank clank clank clank
クォーンクォーンクォーンクォーンクォーン,Screech
イキーーン,Rainstorm
ザーッ,Cicadas buzzing + buzzing sound
ミンミンミンミン（同時にジーッジーッジーッ）,Trickling water + rushing water
ちょろちょろちょろちょろ（同時にざー）,Trickling water
ちょろちょろちょろちょろ,Cicadas buzzing + loud roar
みーんみーん（同時にゴーーーーーーーー）,Squealing
キューキュォーン,Squeal
キュォーン,Beeping + ringing
ピーピピピピピピ（同時にリンリンリンリン）,Ringing + hissing
リリリリ（同時にサー）,Ringing + dinging
リリリリ（同時にちーんちーん）,Splashing + splatter
ザザーン　ぴちゃぴちゃ,Engine revving
ブーブォーン,Engine humming
ブォーン,Frog croaking
ケロケロケロ,Duck quacking
グワッグワッ,Splash splash
ピチャピチャ,Screeching
キキキキ,Beep beep beep
ピッピピ,Beep beep beep beep
ピッピピピ,Ring ring
リーンリーン,Thunder rumbling + crash
ゴロゴロガッシャーン,Crunch crash
バリバリガッシャーン,Rumble crackle
ゴロゴロバリバリ,Hiss rumble
サー ゴロゴロ,Drip drip
チョロチョロ,Rumble
ゴロゴロ,Pour buzz
ザー ブーン,Swish
サーッ,Splash splash
ポチャポチャ,Swish rumble
サーッゴロゴロ,Chirp chirp buzz
ピヨピヨ ジー,Beep beep buzz
ピピピピ ジー,Splash caw caw
ピチャピチャ カーカー,Pour rumble
ザーゴゴゴゴゴ,Pour roar
ザーッババババ,Whoosh roar
ビューザーッババババ,Pour whoosh
ザーッピュー,Rustle
サラサラ,Whoosh
ビューザーッ,Swish splash
ザザーン,Cicada call
ツクツクボーシ,"Caw caw, sizzle"
カーカー ジリジリ,"Buzz buzz, chirp chirp chirp"
ジージー ピヨヨヨ,Chirp chirp chirp
サーピチピチ,Tap tap tap tap...
テンテンテンテン...,Pluck pluck
ポロロン,Bang bang bang bang
ダンダンダンダン,Pain pain pain
ペインペインペイン,Clap clap clap clap
パーッパパパー,"Thud, tap"
ドンッ タッ,Ta-da!
ジャーン,Clap clap clap clap
チャチャチャチャ,Tap tap tap tap
タッタタタ,Tap tap tap
タンタンタン,Trill trill trill
タラララ,Strum strum
チャラーチャラー,Bang bang bang
ダンダンダン,Roar roar roar
ゴウゴウゴウ,Boing boing boing boing
ポヨポヨポヨポヨ,Ding ding ding
ティンティンティン,Ta-da!
ジャジャーン,Ta-da-da
タララー,Ta-da-da-da
タララタララ,Soft tapping
テロテロテロ,Twang
テヨーン,Thump-thump
ズンチャズンチャ,Boom
ズーン,Boing-boing
ピヨンピヨン,Squeak
ギーッ,Click
カチャッ,Beep
ビーッ,Vroom
ブルルル,Peep-peep-peep
ピーピーピーピー,Tap-tap
タンタン,Bang-bang
ダンダン,Boom-boom
ドーンドド,Thud
ズドーン,Brisk footsteps
スタスタ,Throb
ドックン,Crunch-crunch
ザクザク,Cough cough
ゴホゴホ,Flapping
パタパタ,Crunch crunch
ザッザッ,Sticky pat
ペタペタ,Steady walk
テクテク,Knock knock
コンコン,Swipe
ザッ,Chop
ザクッ,Rustle
ザザッ,Clearing throat
エヘン,Chirp chirp
ピヨヨー,Peep peep
ピーチチチ,Chirp chirp whistle
チチチピー,Hoot hoot
ホーホー,Woof woof
ワンワン,Growl
ウー,Chirp chirp
チチチ,Woof
ワン,Sniff sniff
フンフン,Sigh
フー,Hiss
プシュー,Crash
ガシャン,Screech
キキー,Clank
ガチャン,Whoosh whoosh whoosh
ヒュンヒュンヒュン,Vroom
ビュワーン,Howl
ワォーン,Squeal
キュルルル,Engine rumble
ブルルブルル,Gurgle gurgle gurgle
コポコポコポコポ,Buzz buzz
ブーンブーン,Click click
カチッカチッ,Pluck
ポロン,Throb throb
ドクドクドクドク,Sigh
スー,Whirr
フォーン,Moo
モー,Hehehe
イッヒッヒッヒ,Roar
ウォー,Honk moo
ブーブーモーモー,Bzzz bzzz
ブブブブ,Boom
ズドン,Crunch crunch
ガリッガリッ,Munch munch
ムシャムシャ,Crunchy
カリッカリッ,Crunch crunch (dry)
シャクシャク,Vroom vroom
ブロロロロ,Sniff sniff
スーハー,Swoosh
すぅーっ,Squish
グチャ,Tap tap
タカタカ,Clink clank
ジャラジャラ,Vrrrrr
ブルルルル,Clang
ガッチャン,Squeak squeak
キュルキュル,Clink
チャリーン,Ding dong
ピンポーン,Creak creak
キコキコ,Click clack
カツカツ,Whoosh
サザーン,Splash splash
ジャブジャブ,Rattling
ゴトゴト,Thud
ゴトッ,Clatter
ガタン,Buzzing
ジジー,Bang
ゴン,Clack-clack
カタカタン,Splashing
ピチピチ,Paddling
チャプチャプ,Chirp chirp
チュンチュン,Drone
ズー,Beep beep
ピーピー,Vroom vroom
ブオンブオン,Flapping
ビチビチ,Tap tap
コツコツ,Whoosh
フォーファー,Slurping
ズルズル,Tap tap tap tap
トントントントン,Swoosh
シュシュシュ,Chatter
ガヤガヤ,Fireworks cheer
たーまやー,Fireworks shout
たまや,Bang bang bang
パパパン,Tap tap
ポンポン,Bravo
ブラボー,Simmering
コトコト,Spinning
グルグル,Shivering
ブルブル,Trembling
ププルプルプルプル,Boom
ドゥーーん,Whirring
ピロロロ,Howl
ウォーン,Vroom
ヴーン,Chirp chirp
ティティ,Buzz
ジジ,Thump
トゥン,Toot toot toot
トゥトゥトゥ,Bzzz
ブブブ,Honk honk
ブーブー,Beep
ディー,Static noise
ジジジ,Dii-dii-diin – Electronic beep
ディディディーン,Wiiiin – Whirring
ウィーーン,Doon – Boom
ドゥーン,Turu-turu – Smooth sliding
トゥルトゥル,Diririn – Phone ringing
ディリリン,Wiiin wiiin – Siren wail
ウィインウィイン,Diriri diriri – Rapid ringing
ディリリディリリ,Zaruru zaruru – Slurping
